,Country,Price
20,Cite el khadra,250.0
22,Ariana,165.0
24,Ariana,950.0
26,Tunis,140.0
27,Ariana,500.0
29,Ariana,10000.0
31,Sfax,1500.0
33,Ariana,380.0
34,Bizerte,650.0
35,Bizerte,700.0
39,Nabeul,150.0
42,Bardo,660.0
43,Nabeul,490.0
46,Ben arous,450.0
47,Mannouba,600.0
51,Tunis,750.0
53,Ben arous,500.0
58,Sfax,290.0
61,Ariana,350.0
62,Ariana,100.0
64,Ariana,99.0
66,Ben arous,550.0
68,Ariana,900.0
70,Ariana,280.0
73,Ben arous,410.0
74,Ariana,480.0
75,Nabeul,850.0
76,Nabeul,900.0
78,Ben arous,300.0
80,Nabeul,850.0
82,Ariana,900.0
84,Mannouba,950.0
86,Ariana,1250.0
87,Nabeul,450.0
89,Bardo,320.0
90,Ariana,165.0
91,Tunis,750.0
92,Banlieue Nord,1600.0
93,Nabeul,100.0
94,Nabeul,120.0
95,Ariana,750.0
96,Jendouba,120.0
97,Ariana,600.0
98,Ariana,850.0
99,Ariana,380.0
100,Ben arous,270.0
101,Ariana,1000.0
102,Ariana,480.0
103,Monastir,300.0
104,Nabeul,700.0
105,Ben arous,110.0
106,Ariana,1200.0
107,Ben arous,850.0
109,Nabeul,850.0
110,Gabes,200.0
113,Tunis,700.0
115,Gabes,250.0
116,Nabeul,880.0
119,Nabeul,880.0
121,Nabeul,880.0
122,Ariana,1200.0
126,Ariana,480.0
128,Sousse,100.0
130,Nabeul,1200.0
133,Tunis,580.0
135,Nabeul,150.0
137,Nabeul,500.0
139,Cite el khadra,100.0
140,Sousse,1500.0
143,Ariana,900.0
144,Banlieue Nord,700.0
146,Ariana,105.0
149,Ben arous,200.0
150,Nabeul,700.0
151,Sfax,570.0
152,Bardo,550.0
153,Banlieue Nord,5000.0
154,Banlieue Nord,850.0
156,Ariana,1500.0
158,Sousse,1200.0
161,Ariana,900.0
162,Tunis,300.0
163,Banlieue Nord,750.0
164,Ariana,1500.0
165,Mahdia,130.0
168,Ariana,3500.0
169,Ben arous,500.0
172,Ariana,900.0
174,Ben arous,600.0
176,Ben arous,600.0
178,Cite el khadra,25000.0
179,Tunis,900.0
182,Ben arous,10800.0
184,Ariana,550.0
186,Ben arous,650.0
188,Ben arous,800.0
190,Ben arous,800.0
191,Banlieue Nord,4000.0
194,Ariana,3000.0
197,Ariana,850.0
198,Jendouba,100.0
207,Jendouba,1500.0
209,Bizerte,600.0
211,Ariana,750.0
213,Ariana,800.0
215,Ariana,900.0
216,Banlieue Nord,2000.0
218,Ariana,1000.0
219,Nabeul,1000.0
221,Ben arous,600.0
223,Ariana,850.0
226,Ariana,1300.0
227,Ariana,700.0
228,Ariana,1500.0
229,Ariana,850.0
230,Jendouba,490.0
232,Tunis,900.0
233,Banlieue Nord,2000.0
236,Banlieue Nord,2400.0
237,Banlieue Nord,2500.0
239,Banlieue Nord,6000.0
253,Banlieue Nord,1800.0
254,Banlieue Nord,3000.0
256,Sousse,1700.0
258,Banlieue Nord,950.0
259,Banlieue Nord,3000.0
261,Banlieue Nord,2000.0
265,Banlieue Nord,3800.0
266,Ariana,850.0
268,Ariana,580.0
270,Ben arous,750.0
274,Ben arous,16700.0
276,Bardo,270.0
277,Bardo,220.0
280,Bizerte,100.0
282,Nabeul,120.0
284,Tunis,600.0
286,Banlieue Nord,700.0
287,Nabeul,9999.0
288,Tunis,470.0
289,Banlieue Nord,600.0
293,Ariana,1050.0
294,Tunis,450.0
311,Banlieue Nord,850.0
312,Banlieue Nord,1200.0
315,Tunis,780.0
316,Tunis,780.0
330,Monastir,15000.0
332,Ariana,650.0
335,Banlieue Nord,7300.0
336,Nabeul,9999.0
337,Ben arous,450.0
338,Ariana,200.0
339,Ariana,100.0
340,Ariana,100.0
341,Sousse,1500.0
342,Ariana,180.0
343,Cite el khadra,1500.0
344,Ariana,12000.0
345,Tunis,1600.0
346,Ben arous,520.0
349,Ben arous,400.0
352,Mannouba,550.0
354,Banlieue Nord,2000.0
355,Ariana,120.0
357,Nabeul,2000.0
359,Ben arous,350.0
363,Ben arous,580.0
365,Ariana,110.0
367,Ariana,110.0
368,Nabeul,800.0
370,Nabeul,1300.0
372,Banlieue Nord,5000.0
374,Banlieue Nord,1500.0
375,Ariana,1500.0
379,Banlieue Nord,1050.0
380,Bizerte,2000.0
383,Ben arous,470.0
385,Ariana,750.0
388,Ariana,780.0
390,Tunis,1300.0
393,Ariana,550.0
395,Mahdia,100.0
397,Banlieue Nord,1200.0
399,Banlieue Nord,1000.0
400,Jendouba,800.0
403,Banlieue Nord,1200.0
405,Mahdia,100.0
407,Mahdia,700.0
409,Ariana,2600.0
412,Ariana,950.0
413,Ben arous,850.0
417,Mahdia,0.0
418,Sousse,550.0
419,Tunis,250.0
423,Banlieue Nord,3000.0
425,Ben arous,600.0
426,Banlieue Nord,4400.0
428,Tunis,1200.0
429,Sousse,650.0
431,Banlieue Nord,4500.0
432,Ariana,740.0
434,Ariana,520.0
436,Ariana,470.0
438,Cite el khadra,780.0
440,Banlieue Nord,860.0
442,Nabeul,99.0
444,Nabeul,7200.0
446,Nabeul,99.0
447,Ariana,70.0
449,Banlieue Nord,600.0
451,Ben arous,650.0
452,Ariana,940.0
453,Sousse,1500.0
455,Ariana,600.0
456,Ben arous,430.0
459,Tunis,650.0
463,Mannouba,400.0
465,Ariana,120.0
466,Cite el khadra,680.0
467,Tunis,1200.0
469,Sousse,800.0
470,Ariana,2000.0
473,Ariana,950.0
475,Ariana,685.0
476,Ben arous,460.0
477,Ariana,430.0
479,Jendouba,300.0
480,Jendouba,0.0
482,Banlieue Nord,1200.0
484,Tunis,1200.0
487,Monastir,375.0
489,Monastir,250.0
491,Ariana,900.0
492,Ariana,1400.0
494,Ariana,700.0
497,Ariana,700.0
499,Banlieue Nord,860.0
502,Banlieue Nord,1700.0
503,Tunis,300.0
505,Banlieue Nord,4800.0
506,Nabeul,4800.0
507,Banlieue Nord,1000.0
511,Ariana,560.0
512,Ariana,560.0
514,Sousse,100.0
515,Ariana,1500.0
517,Jendouba,560.0
520,Tunis,2000.0
522,Bizerte,350.0
523,Ariana,800.0
524,Ariana,550.0
527,Ariana,900.0
529,Sousse,1200.0
530,Nabeul,5000.0
532,Sousse,300.0
534,Ariana,1000.0
535,Ben arous,1200.0
537,Ben arous,700.0
539,Banlieue Nord,450.0
542,Ben arous,600.0
544,Cite el khadra,480.0
546,Tunis,850.0
548,Nabeul,3500.0
550,Jendouba,1000.0
556,Ariana,700.0
557,Ariana,850.0
560,Ariana,790.0
561,Tunis,2200.0
564,Bizerte,525.0
566,Tunis,350.0
568,Ariana,230.0
570,Ariana,900.0
571,Banlieue Nord,1200.0
574,Tunis,165.0
577,Ariana,580.0
579,Tunis,1200.0
581,Mannouba,290.0
582,Mannouba,300.0
585,Nabeul,750.0
586,Banlieue Nord,2600.0
588,Ariana,1500.0
590,Ariana,1300.0
592,Ariana,750.0
593,Banlieue Nord,800.0
595,Ariana,500.0
596,Banlieue Nord,120.0
598,Nabeul,850.0
600,Nabeul,500.0
602,Bizerte,500.0
605,Ariana,700.0
607,Tunis,500.0
608,Tunis,800.0
610,Gabes,200.0
613,Ben arous,270.0
616,Ariana,740.0
617,Nabeul,2500.0
619,Ben arous,270.0
620,Tunis,1400.0
622,Ben arous,450.0
624,Cite el khadra,650.0
626,Sousse,1200.0
630,Sousse,4000.0
631,Ariana,950.0
634,Ariana,1800.0
636,Bardo,240.0
638,Sousse,1100.0
639,Sfax,350.0
642,Ariana,650.0
644,Ariana,500.0
648,Nabeul,300.0
649,Ariana,950.0
650,Ariana,750.0
651,Sousse,1400.0
652,Ben arous,350.0
654,Bizerte,600.0
656,Tunis,900.0
657,Nabeul,550.0
659,Tunis,700.0
661,Tunis,470.0
663,Nabeul,500.0
665,Nabeul,700.0
667,Sousse,900.0
668,Tunis,550.0
671,Tunis,230.0
673,Ariana,490.0
675,Bizerte,300.0
677,Nabeul,700.0
678,Ben arous,270.0
680,Ben arous,500.0
681,Beja,300.0
683,Ariana,650.0
685,Mahdia,60.0
687,Ariana,580.0
689,Monastir,600.0
691,Ariana,122.0
692,Sousse,750.0
697,Mannouba,380.0
698,Sfax,0.0
700,Jendouba,560.0
701,Sousse,90.0
704,Ariana,1200.0
705,Banlieue Nord,3000.0
707,Nabeul,600.0
709,Ariana,480.0
711,Bizerte,500.0
712,Tunis,750.0
718,Sousse,600.0
720,Sfax,600.0
722,Ariana,2500.0
724,Gabes,350.0
726,Tunis,350.0
728,Ariana,300.0
731,Ariana,500.0
733,Ariana,100.0
736,Ariana,700.0
737,Ariana,100.0
740,Nabeul,500.0
741,Ben arous,600.0
743,Sousse,100.0
746,Sousse,300.0
748,Bardo,350.0
750,Ariana,1000.0
751,Banlieue Nord,1150.0
754,Ben arous,600.0
755,Ben arous,600.0
757,Banlieue Nord,1200.0
759,Beja,600.0
761,Sousse,350.0
765,Sfax,290.0
767,Ariana,400.0
769,Tunis,1700.0
770,Sousse,90.0
772,Ariana,92.0
773,Nabeul,1400.0
775,Sfax,395.0
777,Sousse,200.0
778,Banlieue Nord,120.0
780,Banlieue Nord,130.0
781,Banlieue Nord,1500.0
784,Ariana,91.0
787,Banlieue Nord,130.0
789,Mannouba,600.0
790,Banlieue Nord,150.0
792,Banlieue Nord,600.0
793,Ariana,500.0
794,Tunis,950.0
796,Ariana,500.0
797,Tunis,0.0
799,Sfax,700.0
800,Banlieue Nord,2500.0
802,Ariana,590.0
803,Sfax,1500.0
805,Ariana,900.0
808,Bizerte,650.0
809,Nabeul,350.0
811,Tunis,140.0
814,Banlieue Nord,160.0
817,Banlieue Nord,130.0
818,Ben arous,750.0
820,Ariana,750.0
823,Ariana,100.0
825,Sousse,1450.0
827,Ariana,1200.0
829,Sousse,1200.0
830,Sousse,550.0
834,Tunis,380.0
835,Tunis,280.0
836,Nabeul,900.0
839,Ben arous,450.0
840,Ariana,850.0
841,Mannouba,470.0
844,Ariana,120.0
846,Ben arous,880.0
847,Nabeul,65.0
848,Nabeul,1700.0
853,Ben arous,330.0
854,Nabeul,130.0
855,Nabeul,130.0
858,Banlieue Nord,800.0
859,Nabeul,4500.0
860,Tunis,1650.0
863,Banlieue Nord,1650.0
865,Nabeul,125.0
867,Ariana,1300.0
870,Nabeul,100.0
872,Mannouba,850.0
873,Banlieue Nord,3500.0
875,Nabeul,30.0
