,Extraction_date,Marketplace,Reference,Status,Name,Address,Size,Size_prefix,Nbr_of_rooms,Nbr_of_baths,Price,Description,URL
29,2018-07-16T14:05:11,Tunisie-annonce TN,2791959,L,Villa jardin d' el menzeh 2,"Tunisie,Ariana,Mnihla,Jardins d'el Menzah",700,m²,,,10000.0,"grande  villa, surface totale bâtie de 700 m²  sur un terrain de 500 m², faisant le coin ,situé sur l’avenue principale  avenue les jasmins , idéale pour une résidence, une institution, une banque ,une école privée ou pour un investisseur.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2791959
31,2018-07-16T14:05:08,Tunisie-annonce TN,2782757,L,Espace pour depot ou park,"Tunisie,Sfax,Sfax Sud,El Khazzanette",4600,m²,,,1500.0,"a louer un espace de 4600 m2 cloture , avec 2 entres et alimente situe a la route de menzel chaker km 11 , kassa boumerra , sur la route principlae qui peut étre utilisé comme dépot de toutes activités commerciales stokage ou autre équipé par électricité et eau pour plus d'infos contactez 23322118 ou 21441810",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2782757
47,2018-07-16T14:04:29,Tunisie-annonce TN,2831524,L,Rez de chaussé de villa,"Tunisie,Manouba,Mannouba,La Mannouba",350,m²,,,600.0,a louer:rdc de villa à manouba 5min station métro 4 . composé de 03 chambres à couché + sallon+ salle d'eau+ jardin pour 03 étudiantes filles  ingénieurs informatiques.  pour plus d'info appeler l'agent immobilier sur: 22229863/53770772,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831524
53,2018-07-16T14:04:08,Tunisie-annonce TN,2817196,L,Local 100m,"Tunisie,Ben arous,Bou Mhel El Bassatine,Bou Mhel",100,m²,,,500.0,a louer 100m pour dépôt   prix payable par trimestre,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2817196
58,2018-07-16T14:03:48,Tunisie-annonce TN,2784642,L,Local commercial spatieux,"Tunisie,Sfax,Sakiet Ezzit,Sakiet Ezzit",45,m²,,,290.0,a louer un local commercial spatieux et tout neuf,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2784642
84,2018-07-16T14:02:35,Tunisie-annonce TN,2614985,L,Un depot 210m2,"Tunisie,Manouba,Mannouba,La Mannouba",210,m²,,,950.0,"a louer un depot 210 m2 couvert et 4m de hauteur, situer derriere le compus de manouba il et bien pour un projet d'unne boulangerie qui peu servir  les habitants aussi le foyer de compus puisque il ya pas une dans cette zone, le prix est negociable..",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2614985
93,2018-07-16T14:01:31,Tunisie-annonce TN,2786848,L,Maison climatisé 70dt,"Tunisie,Nabeul,Kelibia,Kelibia",150,m²,,,100.0,"bonjour, je mets à votre disposition une maison bien meublé et climatisé à kélibia , elle comporte une salon, deux chambres à coucher , une cuisine et salle de bain, elle est équipée de tout(gaz,four,réfrigérateur.etc)  pour plus d'informations ou réservation pendant l'été merci de nous contacter sur 24762174. la nuit 80dt",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2786848
99,2018-07-16T14:00:59,Tunisie-annonce TN,2828963,L,Étage de maison,"Tunisie,Ariana,La Soukra,Cite Farhat",100,m²,,,380.0,un étage de maison se trouve a la soukra prêt de charguia 2,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2828963
100,2018-07-16T14:00:53,Tunisie-annonce TN,2820726,L,Studio meublé proche de lagare taher sfar,"Tunisie,Ben arous,Hammam Lif,Hammam Lif",34,m²,,,270.0,"studio meublé idéal pour homme fonctionnaire proche de lagare taher sfar composé d'un salon, chambres à coucher,kitchenette ,salle deau avec une place de parking prix 270dt fix     visite payante : 20 dt+(2visite gratuit)   +commission 130dt fix svp svp que les sérieux curieux courtier sabstenir",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2820726
102,2018-07-16T14:00:43,Tunisie-annonce TN,2818105,L,Belle appartement,"Tunisie,Ariana,La Soukra,La Soukra",100,m²,,,480.0,tres belle appartement en 2em etage s+2 tres propre 5 minutes a  terminus métro ariana charguia 2 parabole installe gaze de-ville.,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2818105
