,Extraction_date,Marketplace,Reference,Status,Category,Name,Address,Size,Size_prefix,Nbr_of_rooms,Nbr_of_baths,Price,Description,URL
17,2018-07-16T14:05:53,Jumia TN,L-TN-00152007,A vendre,Appartements,Penthouse De 349M² À Ain Zaghouan,"AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord",1,m²,1.0,,650000.0,apartment a Buy,https://house.jumia.com.tn/penthouse-de-349m-a-ain-zaghouan-152007-29.html?page=18&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
141,2018-07-16T13:58:49,Jumia TN,L-TN-00152106,A vendre,Appartements,S+3 À Ain Zaghouen Nord,"AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord",1,m²,2.0,2.0,480000.0,"A vendre S+3 situé à Ain Zaghouen Nord composé dans le coté jour d'un grand salon,une cuisine équipée, une salle d'eau invités et un balcon quant au coté nuit l'espace est composé d'une suite parentale et deux chambres à coucher avec une salle de bain commune une place de parking est disponible au sous-sol",https://house.jumia.com.tn/s3-a-ain-zaghouen-nord-152106-29.html?page=22&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
234,2018-07-16T13:53:58,Jumia TN,L-TN-00141617,A vendre,Appartements,A Vendre Un Appartement S+4,"AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord",1,m²,1.0,,420000.0,"A vendre a Ain Zaghouan un appartement au 1er étage d'une superficie habitable de 200m² composé de 4 chambre a coucher dans une suite parentale ,une cuisine équipé,un grand salon et 2 sdb avec jardin d'hiver et place du parking au sous sol",https://house.jumia.com.tn/a-vendre-un-appartement-s4-141617-29.html?page=25&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
309,2018-07-16T13:49:34,Jumia TN,L-TN-00122579,A vendre,Appartements,Appartement 110 M2 Ain Zaghouen,"Ain zaghouen, AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord",110,m²,2.0,1.0,225000.0,"Cet appartement de deux pièces occupe le rez de chausse d'une résidence calme a ain zaghouane . L'entrée donne sur un salon, la cuisine séparée est équipée d’une plaque, d'une hotte et d'un four. L'appartement tout neuf n'a jamais été habité, la partie nuit abrite une chambre à coucher équipée d'un dressing encastré pour plus de rangements. Une salle de bain",https://house.jumia.com.tn/appartement-110-m2-ain-zaghouen-122579-29.html?page=29&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
555,2018-07-16T13:38:36,Jumia TN,L-TN-00152100,A vendre,Appartements,Apartment A Buy,"AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord",1,m²,1.0,,585000.0,apartment a Buy,https://house.jumia.com.tn/apartment-a-buy-152100-29.html?page=37&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
674,2018-07-16T13:33:52,Jumia TN,L-TN-00130782,A vendre,Appartements,A Vendre Appartement S+4 Ain Zaghouan,"AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord",1,m²,4.0,1.0,260000.0,"A vendre un appartement S+4 de 150M² situé au 1ér étage d'une résidence avec ascenseur à Ain Zaghouan prés de Carrefour expresse. Il se compose d'un salon avec balcon, une cuisine, quatre chambres à coucher, une salle de bain et une salle de douche . Chauffage central, clim en Split et parking sont à la disposition. Contact: Slim Bennani au , Agence 100m2, La Marsa.",https://house.jumia.com.tn/a-vendre-appartement-s4-ain-zaghouan-130782-29.html?page=41&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
696,2018-07-16T13:33:07,Jumia TN,L-TN-00149158,A vendre,Appartements,Appartement À Aiin Zaghouen,"Ain Zaghouan, AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord",104,m²,3.0,1.0,178000.0,"Casa imed vous propose un appartement  à Ain Zaghouan. Appartement luxueux, entièrement rénové avec gout et modernité, exposé plein nord  aux 5 étages (avec double ascenseur) avec vue extraordinaire. Idéalement situé au cœur de la ville, les transports, les commerces et les rues piétonnes sont aux pieds de la résidence. Il dispose d'un grand salon avec  agrémenté d'un généreux balcon, de 2 chambres +cuisine bien équipé   et salle  de bain spacieuse   Et encore avec un parking sous-sol  pour 1véhicules.  Superficie : 105m²  Prix :   Contactez (ikram ) Pour plus d’information n’hésitez pas à contactez votre conseillère en immobilier  ikram  Nous sommes à votre service (même samedi & dimanche ) Visite du bien disponible (fixer un RDV) Satisfaction garantie",https://house.jumia.com.tn/appartement-a-aiin-zaghouen-149158-29.html?page=42&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
744,2018-07-16T13:31:01,Jumia TN,L-TN-00152083,A vendre,Appartements,A Vendre Un Triplex Avec 3 Suites Situé À Ain Zaghouane Nord.,"AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord",1,m²,1.0,,750000.0,"A vendre un triplex neuf à Ain Zaghouane Nord. Il est composé de : Au rez de chaussée: d'un salon/salle à manger,une cuisine équipée et une salle d'eau pour invités. A l'étage: 3 suites. Le duplex est équipé de climatisation et du chauffage central et il dispose d'un garage privatif.",https://house.jumia.com.tn/a-vendre-un-triplex-avec-3-suites-situe-a-ain-zaghouane-nord-152083-29.html?page=44&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
893,2018-07-16T13:25:30,Jumia TN,L-TN-00132818,A vendre,Appartements,A Vendre Un Bel Appartement S+2 - Cité Les Palmerais,"Cité les Palmerais, AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord",100,m²,2.0,1.0,200000.0,"Cet appartement est situé au 5eme  étage dans une résidence gardée, calme  et bien entretenue en plein cœur de  Cité les Palmerais l’aouina.   L'entrée ouvre sur une spacieuse pièce de vie bien orientée et ensoleillée , tapissée en marbre blanc. Cette pièce au volume confortable qui permet de placer un salon et une salle à manger profite d'une vue dégagée.   A gauche, on trouve une spacieuse cuisine équipée par un four, une plaque, une hotte et une lave vaiselle donne sur un séchoir exploitable.  Un couloir avec des placards  nous mène à la partie nuit, on retrouve deux chambres à coucher avec  des dressings dont une ouvre sur un balcon  qui rend la pièce plus conviviale et lumineuse partageant une salle de bain.  l'appartement est doté du chauffage central et un climatiseur.",https://house.jumia.com.tn/a-vendre-un-bel-appartement-s2-cite-les-palmerais-132818-29.html?page=48&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
959,2018-07-16T13:22:40,Jumia TN,L-TN-00141885,A vendre,Appartements,Vente Appartement S+2 Cite Les Palmerais,"AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord",1,m²,2.0,1.0,199000.0,"A vendre un appartement de 101m2 à Ain Zaghouan, cite les palmerais. Il est situé au cinquième étage d'une résidence gardée et se compose d'un salon,salle a manger avec grandes baies vitrés. une cuisine équipée (four hotte plaque lave vaisselle) avec séchoir .la parti nuit se compose de deux chambre a coucher et un balcon avec deux placards avec une salle de bain commune. climatisation et chauffage central a la disposition. contact hanen ben yahmed agence 100m2 le spécialiste de l'immobilier",https://house.jumia.com.tn/vente-appartement-s2-cite-les-palmerais-141885-29.html?page=50&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
