Country,Price,Size,Status,Marketplace,Reference,Moy_prix_by_size
Ariana,180000.0,68.0,V,Jumia TN,L-TN-00157378,2647.0588235294117
Nabeul,650000.0,157.0,V,Jumia TN,L-TN-00163387,4140.127388535032
Ben arous,252000.0,180.0,V,Jumia TN,L-TN-00123031,1400.0
Nabeul,170000.0,180.0,V,Jumia TN,L-TN-00135725,944.4444444444445
Banlieue Nord,350000.0,140.0,V,Jumia TN,L-TN-00131866,2500.0
Sousse,800000.0,150.0,V,Jumia TN,L-TN-00140822,5333.333333333333
Ariana,210000.0,157.0,V,Jumia TN,L-TN-00149547,1337.5796178343949
Ariana,543904.0,236.0,V,Jumia TN,L-TN-00105103,2304.677966101695
Ariana,160000.0,150.0,V,Jumia TN,L-TN-00155703,1066.6666666666667
Ben arous,188000.0,106.0,V,Jumia TN,L-TN-00150930,1773.5849056603774
Nabeul,345000.0,142.0,V,Jumia TN,L-TN-00107452,2429.5774647887324
Sousse,950.0,160.0,V,Jumia TN,L-TN-00115412,5.9375
Banlieue Nord,410000.0,165.0,V,Jumia TN,L-TN-00148251,2484.848484848485
Ariana,214550.0,123.0,V,Jumia TN,L-TN-00153142,1744.3089430894308
Ariana,175000.0,75.0,V,Jumia TN,L-TN-00149075,2333.3333333333335
Ariana,165.0,100.0,L,Tunisie-annonce TN,2831585,1.65
Ariana,950.0,140.0,L,Tunisie-annonce TN,2815556,6.785714285714286
Ben arous,160000.0,129.0,V,Jumia TN,L-TN-00125951,1240.3100775193798
Tunis,140.0,80.0,L,Tunisie-annonce TN,2777893,1.75
Ariana,500.0,110.0,L,Tunisie-annonce TN,2831583,4.545454545454546
Sousse,270000.0,63.0,V,Jumia TN,L-TN-00153593,4285.714285714285
Ariana,10000.0,700.0,L,Tunisie-annonce TN,2791959,14.285714285714286
Ben arous,145000.0,100.0,V,Jumia TN,L-TN-00163485,1450.0
Sfax,1500.0,4600.0,L,Tunisie-annonce TN,2782757,0.32608695652173914
Ariana,380.0,50.0,L,Tunisie-annonce TN,2820177,7.6
Bizerte,650.0,100.0,L,Tunisie-annonce TN,2791201,6.5
Bizerte,700.0,50.0,L,Tunisie-annonce TN,2825412,14.0
Ben arous,80000.0,80.0,V,Jumia TN,L-TN-00127076,1000.0
Banlieue Nord,235000.0,135.0,V,Jumia TN,L-TN-00137940,1740.7407407407406
Banlieue Nord,450000.0,152.0,V,Jumia TN,L-TN-00123222,2960.5263157894738
Bardo,660.0,125.0,L,Tunisie-annonce TN,2828154,5.28
Ariana,258000.0,99.0,V,Jumia TN,L-TN-00127517,2606.060606060606
Ben arous,450.0,150.0,L,Tunisie-annonce TN,2823277,3.0
Mannouba,600.0,350.0,L,Tunisie-annonce TN,2831524,1.7142857142857142
Banlieue Nord,1500000.0,280.0,V,Jumia TN,L-TN-00132571,5357.142857142857
Ariana,257000.0,136.0,V,Jumia TN,L-TN-00154245,1889.7058823529412
Ben arous,500.0,100.0,L,Tunisie-annonce TN,2817196,5.0
Ariana,160000.0,150.0,V,Jumia TN,L-TN-00153433,1066.6666666666667
Banlieue Nord,293000.0,93.0,V,Jumia TN,L-TN-00131676,3150.537634408602
Sousse,750.0,100.0,V,Jumia TN,L-TN-00142237,7.5
Sfax,290.0,45.0,L,Tunisie-annonce TN,2784642,6.444444444444445
Sousse,230000.0,76.0,V,Jumia TN,L-TN-00159053,3026.315789473684
Ariana,195000.0,90.0,V,Jumia TN,L-TN-00136491,2166.6666666666665
Ariana,350.0,80.0,L,Tunisie-annonce TN,2599415,4.375
Ariana,100.0,85.0,L,Tunisie-annonce TN,2496712,1.1764705882352942
Ariana,180000.0,147.0,V,Jumia TN,L-TN-00154286,1224.4897959183672
Ariana,99.0,90.0,L,Tunisie-annonce TN,2493417,1.1
Nabeul,65000.0,80.0,V,Jumia TN,L-TN-00154577,812.5
Ben arous,550.0,200.0,L,Tunisie-annonce TN,2831501,2.75
Ariana,900.0,110.0,L,Tunisie-annonce TN,2774915,8.181818181818182
Banlieue Nord,680000.0,270.0,V,Jumia TN,L-TN-00139478,2518.5185185185187
Ariana,280.0,12.0,L,Tunisie-annonce TN,2770893,23.333333333333332
Banlieue Nord,950000.0,314.0,V,Jumia TN,L-TN-00130161,3025.477707006369
