Country,Price,Size,Marketplace,Reference,Moy_prix_by_size
Ariana,980.0,220.0,Tunisie-annonce TN,2861734,4.454545454545454
Banlieue Nord,1800.0,110.0,Tunisie-annonce TN,2807414,16.363636363636363
Banlieue Nord,1400.0,100.0,Tunisie-annonce TN,2344636,14.0
Banlieue Nord,1400.0,100.0,Tunisie-annonce TN,2563083,14.0
Banlieue Nord,500.0,50.0,Tunisie-annonce TN,2846313,10.0
Banlieue Nord,2000.0,1715.0,Tunisie-annonce TN,2815285,1.1661807580174928
Ariana,1200.0,130.0,Tunisie-annonce TN,2740153,9.23076923076923
Tunis,900.0,140.0,Tunisie-annonce TN,2861750,6.428571428571429
Mannouba,580.0,55.0,Tunisie-annonce TN,2861673,10.545454545454545
Sousse,500.0,65.0,Tayara TN,889b1f78-cc26-455e-b816-d2ca022358e4,7.6923076923076925
Banlieue Nord,1500.0,100.0,Tunisie-annonce TN,2804800,15.0
Sousse,450.0,150.0,Tayara TN,ec35842e-97db-4966-bbec-42e56a85a871,3.0
Banlieue Nord,1200.0,90.0,Tunisie-annonce TN,2439129,13.333333333333334
Banlieue Nord,870.0,100.0,Tunisie-annonce TN,2669025,8.7
Ben arous,500.0,60.0,Tunisie-annonce TN,2806484,8.333333333333334
Cite el khadra,630.0,75.0,Tunisie-annonce TN,2831414,8.4
Beja,500.0,65.0,Tunisie-annonce TN,2831715,7.6923076923076925
Banlieue Nord,1000.0,175.0,Tunisie-annonce TN,2861747,5.714285714285714
Beja,620.0,65.0,Tunisie-annonce TN,2831483,9.538461538461538
Monastir,320.0,60.0,Tayara TN,5fb8f428-17e9-48bb-a8b1-af4654ceee99,5.333333333333333
Ben arous,450.0,17.0,Tunisie-annonce TN,2693075,26.470588235294116
Nabeul,500.0,500.0,Tunisie-annonce TN,2815249,1.0
Nabeul,150.0,150.0,Tunisie-annonce TN,2815246,1.0
Ariana,400.0,80.0,Tunisie-annonce TN,2861744,5.0
Ariana,450.0,120.0,Tunisie-annonce TN,2861016,3.75
Banlieue Nord,900.0,45.0,Tunisie-annonce TN,2803636,20.0
Sousse,850.0,130.0,Tayara TN,f7b89a57-9627-40f5-932b-35ef5a7df2c2,6.538461538461538
Banlieue Nord,1000.0,120.0,Tunisie-annonce TN,2852971,8.333333333333334
Banlieue Nord,1000.0,170.0,Tunisie-annonce TN,2840229,5.882352941176471
Banlieue Nord,1800.0,150.0,Tunisie-annonce TN,2645237,12.0
Ariana,350.0,50.0,Tayara TN,13add711-cdfd-4adf-ae8b-f0a065842443,7.0
Nabeul,600.0,76.0,Tunisie-annonce TN,2638137,7.894736842105263
Banlieue Nord,1500.0,130.0,Tunisie-annonce TN,2823259,11.538461538461538
Ben arous,500.0,75.0,Tayara TN,ccfdb551-9bde-405e-bea8-17586f118fc6,6.666666666666667
Banlieue Nord,500.0,50.0,Tunisie-annonce TN,2861773,10.0
Ariana,360.0,120.0,Tunisie-annonce TN,2861772,3.0
Banlieue Nord,600.0,95.0,Tunisie-annonce TN,2861770,6.315789473684211
Monastir,399.0,80.0,Tayara TN,ebdbff2c-bf89-4936-b01c-d2b2a7f1c02b,4.9875
Sfax,650.0,138.0,Tunisie-annonce TN,2859227,4.7101449275362315
Nabeul,420.0,83.0,Tunisie-annonce TN,2856578,5.0602409638554215
Tunis,900.0,140.0,Tayara TN,df9e2313-9027-40b8-84f8-b75a997597ed,6.428571428571429
Bizerte,600.0,200.0,Tunisie-annonce TN,2830788,3.0
Bizerte,600.0,80.0,Tunisie-annonce TN,2659587,7.5
Ariana,100.0,120.0,Tunisie-annonce TN,1135978,0.8333333333333334
Bizerte,600.0,80.0,Tunisie-annonce TN,2723599,7.5
Kef,450.0,999.0,Tayara TN,979dc8ec-ae18-4337-8f41-2018461bfd86,0.45045045045045046
Bizerte,480.0,65.0,Tunisie-annonce TN,2778227,7.384615384615385
Mannouba,620.0,95.0,Tayara TN,3623ecd0-06ce-4d89-85d4-54c5fb0e5f52,6.526315789473684
Ariana,350.0,200.0,Tunisie-annonce TN,2861801,1.75
Bardo,600.0,40.0,Tayara TN,08fc779c-5f1a-419e-9be2-71ff62e2f5aa,15.0
Nabeul,500.0,80.0,Tunisie-annonce TN,2815349,6.25
Tunis,650.0,80.0,Tunisie-annonce TN,2861797,8.125
Banlieue Nord,520.0,60.0,Tunisie-annonce TN,2801243,8.666666666666666
Sousse,390.0,50.0,Tunisie-annonce TN,2839942,7.8
Mannouba,400.0,60.0,Tayara TN,d9d9be67-199f-473d-80b8-756753f57568,6.666666666666667
Ariana,2600.0,270.0,Tunisie-annonce TN,2833102,9.62962962962963
Mannouba,570.0,55.0,Tayara TN,b69b8f1b-a42e-4296-8afa-6859257ca65c,10.363636363636363
Ariana,400.0,120.0,Tunisie-annonce TN,2861794,3.3333333333333335
Sousse,3000.0,1150.0,Tunisie-annonce TN,2807752,2.608695652173913
Mannouba,300.0,70.0,Tunisie-annonce TN,2861790,4.285714285714286
Ariana,750.0,110.0,Tayara TN,4a6ab72c-0236-4d09-9677-b858121a83a6,6.818181818181818
Banlieue Nord,3000.0,220.0,Tunisie-annonce TN,2861786,13.636363636363637
Tunis,350.0,60.0,Tayara TN,ba976b41-3b3e-4e60-ad89-409b0c763713,5.833333333333333
Ben arous,700.0,880.0,Tayara TN,05fdb562-6133-452c-b8f8-3a52ff956d28,0.7954545454545454
Gabes,200.0,50.0,Tunisie-annonce TN,2851777,4.0
Ariana,1000.0,100.0,Tayara TN,6d1e9e0f-160f-418f-8ca9-d879dee27a9b,10.0
Sousse,5000.0,1600.0,Tunisie-annonce TN,1357238,3.125
Monastir,550.0,75.0,Tunisie-annonce TN,2855238,7.333333333333333
Banlieue Nord,3500.0,195.0,Tunisie-annonce TN,2822541,17.94871794871795
Tunis,350.0,60.0,Tayara TN,9e7b7e0c-3340-4ce0-8efd-ebe6154665af,5.833333333333333
Banlieue Nord,4550.0,270.0,Tunisie-annonce TN,2828571,16.85185185185185
Banlieue Nord,1150.0,135.0,Tunisie-annonce TN,2853962,8.518518518518519
Nabeul,190.0,80.0,Tunisie-annonce TN,2851646,2.375
Monastir,1000.0,160.0,Tunisie-annonce TN,2856668,6.25
Tunis,1200.0,80.0,Tayara TN,8f74ee48-1878-44b6-83bb-a9bcfe61dda3,15.0
Ben arous,500.0,100.0,Tunisie-annonce TN,2853216,5.0
Ariana,650.0,55.0,Tunisie-annonce TN,2855161,11.818181818181818
Beja,100.0,80.0,Tayara TN,89f61220-496e-4031-8dbd-bf17c8032dee,1.25
Sousse,1500.0,200.0,Tunisie-annonce TN,2861808,7.5
Nabeul,130.0,60.0,Tunisie-annonce TN,2861813,2.1666666666666665
Bardo,250.0,120.0,Tayara TN,933d6c30-0ba3-40f4-8bb8-1f6c97953617,2.0833333333333335
Ariana,1850.0,260.0,Tunisie-annonce TN,2453588,7.115384615384615
Ariana,900.0,120.0,Tunisie-annonce TN,2654115,7.5
Ariana,750.0,110.0,Tunisie-annonce TN,2815562,6.818181818181818
Ariana,850.0,110.0,Tunisie-annonce TN,2803456,7.7272727272727275
Ben arous,420.0,70.0,Tayara TN,7155770d-72b1-4fdd-95db-395cfb1f1fae,6.0
Banlieue Nord,1800.0,120.0,Tunisie-annonce TN,2688405,15.0
Ariana,600.0,100.0,Tunisie-annonce TN,2861839,6.0
Nabeul,200.0,50.0,Tunisie-annonce TN,2793669,4.0
Nabeul,270.0,140.0,Tunisie-annonce TN,2861836,1.9285714285714286
Tunis,550.0,40.0,Tunisie-annonce TN,2856904,13.75
Sousse,400.0,3.0,Tayara TN,f7481baa-fc44-4114-a141-afa08e2bbea6,133.33333333333334
Mannouba,550.0,160.0,Tunisie-annonce TN,2793719,3.4375
