Country,Price,Size,Marketplace,Reference,Moy_prix_by_size
Nabeul,150000.0,141.0,Tayara TN,b251608b-acd0-4996-b3ae-ea1d61d3ec70,1063.8297872340424
Nabeul,37000.0,30.0,Tayara TN,fa7f29ee-5b34-44ba-8614-0fae101722b3,1233.3333333333333
Sousse,170000.0,75.0,Jumia TN,L-TN-00122569,2266.6666666666665
Banlieue Nord,3000.0,119.0,Jumia TN,L-TN-00137257,25.210084033613445
Banlieue Nord,520000.0,171.0,Jumia TN,L-TN-00144328,3040.93567251462
Banlieue Nord,280000.0,110.0,Jumia TN,L-TN-00158472,2545.4545454545455
Banlieue Nord,170000.0,73.0,Jumia TN,L-TN-00170421,2328.7671232876714
Banlieue Nord,343565.0,94.0,Jumia TN,L-TN-00154104,3654.946808510638
Sousse,330000.0,105.0,Jumia TN,L-TN-00127646,3142.8571428571427
Sousse,280000.0,155.0,Jumia TN,L-TN-00134963,1806.4516129032259
Ariana,185000.0,109.0,Jumia TN,L-TN-00158127,1697.2477064220184
Banlieue Nord,990000.0,380.0,Jumia TN,L-TN-00171981,2605.2631578947367
Banlieue Nord,436000.0,81.0,Jumia TN,L-TN-00171982,5382.716049382716
Sousse,195000.0,90.0,Jumia TN,L-TN-00173588,2166.6666666666665
Banlieue Nord,105000.0,45.0,Jumia TN,L-TN-00172663,2333.3333333333335
Banlieue Nord,215000.0,109.0,Jumia TN,L-TN-00174019,1972.4770642201836
Ariana,280000.0,150.0,Jumia TN,L-TN-00173691,1866.6666666666667
Ben arous,168000.0,130.0,Jumia TN,L-TN-00173855,1292.3076923076924
Banlieue Nord,290000.0,91.0,Jumia TN,L-TN-00172635,3186.813186813187
Ariana,263000.0,120.0,Jumia TN,L-TN-00173757,2191.6666666666665
Sousse,206000.0,220.0,Jumia TN,L-TN-00171124,936.3636363636364
Banlieue Nord,465000.0,145.0,Jumia TN,L-TN-00170863,3206.896551724138
Banlieue Nord,310000.0,185.0,Jumia TN,L-TN-00170961,1675.6756756756756
Ariana,215000.0,109.0,Jumia TN,L-TN-00173879,1972.4770642201836
Banlieue Nord,210000.0,117.0,Jumia TN,L-TN-00171162,1794.871794871795
Banlieue Nord,275000.0,150.0,Jumia TN,L-TN-00170969,1833.3333333333333
Banlieue Nord,345000.0,145.0,Jumia TN,L-TN-00172590,2379.310344827586
Ariana,235000.0,125.0,Jumia TN,L-TN-00171986,1880.0
Banlieue Nord,550000.0,140.0,Jumia TN,L-TN-00174377,3928.5714285714284
Sousse,400000.0,200.0,Jumia TN,L-TN-00171132,2000.0
Banlieue Nord,210000.0,106.0,Jumia TN,L-TN-00170962,1981.132075471698
Ariana,169000.0,129.0,Jumia TN,L-TN-00172445,1310.077519379845
Monastir,157000.0,95.0,Jumia TN,L-TN-00171146,1652.6315789473683
Ariana,419452.0,180.0,Jumia TN,L-TN-00174310,2330.288888888889
Banlieue Nord,390000.0,200.0,Jumia TN,L-TN-00170594,1950.0
Ben arous,160000.0,95.0,Jumia TN,L-TN-00121069,1684.2105263157894
Banlieue Nord,200000.0,134.0,Jumia TN,L-TN-00170612,1492.5373134328358
Banlieue Nord,225000.0,120.0,Jumia TN,L-TN-00173160,1875.0
Banlieue Nord,220000.0,150.0,Jumia TN,L-TN-00170581,1466.6666666666667
Ariana,255000.0,120.0,Jumia TN,L-TN-00170440,2125.0
Nabeul,260000.0,81.0,Jumia TN,L-TN-00169275,3209.8765432098767
Ariana,280000.0,129.0,Jumia TN,L-TN-00169510,2170.5426356589146
Bizerte,75000.0,42.0,Jumia TN,L-TN-00171902,1785.7142857142858
Ariana,250000.0,155.0,Jumia TN,L-TN-00172014,1612.9032258064517
Banlieue Nord,396000.0,146.0,Jumia TN,L-TN-00170865,2712.328767123288
Sousse,100000.0,82.0,Jumia TN,L-TN-00171125,1219.5121951219512
