Country,Price,Size,Status,Marketplace
Ariana,180000.0,68.0,A vendre,Jumia TN
Nabeul,650000.0,157.0,A vendre,Jumia TN
Ben arous,252000.0,180.0,A vendre,Jumia TN
Nabeul,170000.0,180.0,A vendre,Jumia TN
Banlieue Nord,350000.0,140.0,A vendre,Jumia TN
Sousse,800000.0,150.0,A vendre,Jumia TN
Ariana,210000.0,157.0,A vendre,Jumia TN
Ariana,543904.0,236.0,A vendre,Jumia TN
Ariana,160000.0,150.0,A vendre,Jumia TN
Ben arous,188000.0,106.0,A vendre,Jumia TN
Nabeul,345000.0,142.0,A vendre,Jumia TN
Sousse,950.0,160.0,A vendre,Jumia TN
Banlieue Nord,650000.0,1.0,A vendre,Jumia TN
Banlieue Nord,410000.0,165.0,A vendre,Jumia TN
Ariana,214550.0,123.0,A vendre,Jumia TN
Ariana,175000.0,75.0,A vendre,Jumia TN
Ben arous,160000.0,129.0,A vendre,Jumia TN
Sousse,270000.0,63.0,A vendre,Jumia TN
Ben arous,145000.0,100.0,A vendre,Jumia TN
Ben arous,80000.0,80.0,A vendre,Jumia TN
Banlieue Nord,235000.0,135.0,A vendre,Jumia TN
Banlieue Nord,450000.0,152.0,A vendre,Jumia TN
Banlieue Nord,950000.0,1.0,A vendre,Jumia TN
Banlieue Nord,1500000.0,1.0,A vendre,Jumia TN
Ariana,258000.0,99.0,A vendre,Jumia TN
Banlieue Nord,1500000.0,280.0,A vendre,Jumia TN
Ariana,257000.0,136.0,A vendre,Jumia TN
Nabeul,235000.0,1.0,A vendre,Jumia TN
Banlieue Nord,640000.0,1.0,A vendre,Jumia TN
Ariana,160000.0,150.0,A vendre,Jumia TN
Banlieue Nord,293000.0,93.0,A vendre,Jumia TN
Sousse,750.0,100.0,A vendre,Jumia TN
Sousse,230000.0,76.0,A vendre,Jumia TN
Ariana,195000.0,90.0,A vendre,Jumia TN
Ariana,180000.0,147.0,A vendre,Jumia TN
Nabeul,65000.0,80.0,A vendre,Jumia TN
Banlieue Nord,680000.0,270.0,A vendre,Jumia TN
Banlieue Nord,950000.0,314.0,A vendre,Jumia TN
Banlieue Nord,295000.0,1.0,A vendre,Jumia TN
Sousse,95000.0,120.0,A vendre,Jumia TN
Banlieue Nord,560000.0,116.0,A vendre,Jumia TN
Banlieue Nord,530000.0,1.0,A vendre,Jumia TN
Nabeul,55000.0,60.0,A vendre,Jumia TN
Banlieue Nord,980000.0,230.0,A vendre,Jumia TN
Ben arous,250000.0,158.0,A vendre,Jumia TN
Ariana,260000.0,130.0,A vendre,Jumia TN
Ariana,380000.0,134.0,A vendre,Jumia TN
Sousse,198000.0,124.0,A vendre,Jumia TN
Ariana,183000.0,147.0,A vendre,Jumia TN
Sousse,130000.0,65.0,A vendre,Jumia TN
Banlieue Nord,552000.0,230.0,A vendre,Jumia TN
Ariana,250000.0,104.0,A vendre,Jumia TN
Sousse,190000.0,116.0,A vendre,Jumia TN
Sousse,250000.0,158.0,A vendre,Jumia TN
Ben arous,130000.0,80.0,A vendre,Jumia TN
Nabeul,420000.0,120.0,A vendre,Jumia TN
Ben arous,252000.0,180.0,A vendre,Jumia TN
Ariana,175075.0,76.0,A vendre,Jumia TN
Banlieue Nord,480000.0,1.0,A vendre,Jumia TN
Banlieue Nord,580000.0,145.0,A vendre,Jumia TN
Banlieue Nord,500000.0,178.0,A vendre,Jumia TN
Ariana,300000.0,191.0,A vendre,Jumia TN
Ariana,419000.0,156.0,A vendre,Jumia TN
Banlieue Nord,450000.0,1.0,A vendre,Jumia TN
Ariana,89000.0,53.0,A vendre,Jumia TN
Ben arous,98000.0,90.0,A vendre,Jumia TN
Sousse,110000.0,87.0,A vendre,Jumia TN
Ariana,225000.0,105.0,A vendre,Jumia TN
Mahdia,395000.0,138.0,A vendre,Jumia TN
Sousse,225000.0,108.0,A vendre,Jumia TN
Ariana,387782.0,158.0,A vendre,Jumia TN
Banlieue Nord,435000.0,196.0,A vendre,Jumia TN
Ben arous,130000.0,104.0,A vendre,Jumia TN
Ariana,320000.0,124.0,A vendre,Jumia TN
Ariana,198170.0,111.0,A vendre,Jumia TN
Sousse,260000.0,137.0,A vendre,Jumia TN
Ariana,308000.0,145.0,A vendre,Jumia TN
Ariana,340500.0,159.0,A vendre,Jumia TN
Banlieue Nord,477000.0,1.0,A vendre,Jumia TN
Banlieue Nord,300.0,112.0,A vendre,Jumia TN
Nabeul,320000.0,149.0,A vendre,Jumia TN
Banlieue Nord,880000.0,271.0,A vendre,Jumia TN
Ariana,340000.0,145.0,A vendre,Jumia TN
Banlieue Nord,210000.0,69.0,A vendre,Jumia TN
Nabeul,158519.0,65.0,A vendre,Jumia TN
Banlieue Nord,180000.0,100.0,A vendre,Jumia TN
Ariana,250000.0,105.0,A vendre,Jumia TN
Ariana,108000.0,60.0,A vendre,Jumia TN
Banlieue Nord,3000.0,76.0,A vendre,Jumia TN
Banlieue Nord,400000.0,152.0,A vendre,Jumia TN
Ariana,250000.0,104.0,A vendre,Jumia TN
Nabeul,145000.0,90.0,A vendre,Jumia TN
Ariana,170000.0,147.0,A vendre,Jumia TN
Nabeul,350000.0,124.0,A vendre,Jumia TN
Ariana,175000.0,60.0,A vendre,Jumia TN
Banlieue Nord,420000.0,1.0,A vendre,Jumia TN
Ariana,260000.0,200.0,A vendre,Jumia TN
Ariana,850000.0,1.0,A vendre,Jumia TN
Banlieue Nord,390000.0,1.0,A vendre,Jumia TN
Banlieue Nord,385000.0,145.0,A vendre,Jumia TN
Banlieue Nord,340000.0,180.0,A vendre,Jumia TN
Ariana,159000.0,70.0,A vendre,Jumia TN
Banlieue Nord,800000.0,272.0,A vendre,Jumia TN
Sousse,340000.0,230.0,A vendre,Jumia TN
Sousse,270000.0,128.0,A vendre,Jumia TN
Banlieue Nord,810000.0,148.0,A vendre,Jumia TN
Banlieue Nord,413000.0,153.0,A vendre,Jumia TN
Ben arous,150000.0,117.0,A vendre,Jumia TN
Banlieue Nord,240000.0,85.0,A vendre,Jumia TN
Ariana,260000.0,122.0,A vendre,Jumia TN
Banlieue Nord,1050000.0,400.0,A vendre,Jumia TN
Bizerte,230000.0,121.0,A vendre,Jumia TN
Banlieue Nord,850000.0,1.0,A vendre,Jumia TN
Banlieue Nord,580000.0,1.0,A vendre,Jumia TN
Banlieue Nord,2500.0,235.0,A vendre,Jumia TN
Ben arous,160000.0,103.0,A vendre,Jumia TN
Ariana,275000.0,136.0,A vendre,Jumia TN
Ariana,190000.0,112.0,A vendre,Jumia TN
Banlieue Nord,850000.0,1.0,A vendre,Jumia TN
Ariana,183000.0,147.0,A vendre,Jumia TN
Banlieue Nord,770000.0,1.0,A vendre,Jumia TN
Banlieue Nord,395000.0,138.0,A vendre,Jumia TN
